average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,scenario,severity,severity_rank,method,seed,degradation_pct
2.823580629901562,7.676014761739372,22.474999999999994,0.353759765625,0.10661752288976159,77.0,8.625,distribution_shift,low,1,deeprm_inspired_pg,2,-7.2493616867237245
7.1117530481773334,19.414054552330754,66.98749999999998,0.452392578125,0.36840826770320645,122.5,45.625,distribution_shift,medium,2,deeprm_inspired_pg,2,133.61104965783542
9.431714583930338,26.90937450061282,80.42499999999998,0.49910481770833337,0.5049528258894154,152.5,77.375,distribution_shift,high,3,deeprm_inspired_pg,2,209.81851156794266
5.7669921875,18.412760416666664,80.34375,0.445068359375,0.33203125,96.0,31.875,co_tenant_interference,low,1,deeprm_inspired_pg,2,89.43755346449956
5.270920138888888,18.639322916666668,82.03125,0.4193522135416667,0.33463541666666663,96.0,32.125,co_tenant_interference,medium,2,deeprm_inspired_pg,2,73.14228685486168
5.512782118055555,20.436197916666664,84.03125,0.37939453125,0.36848958333333337,96.0,35.375,co_tenant_interference,high,3,deeprm_inspired_pg,2,81.08711149130309
6.309722222222223,19.09375,82.25,0.4498697916666667,0.34375,96.0,33.0,co_tenant_matched_load_control,low,1,deeprm_inspired_pg,2,107.26546906187625
6.328472222222222,19.083333333333332,82.25,0.453125,0.34375,96.0,33.0,co_tenant_matched_load_control,medium,2,deeprm_inspired_pg,2,107.88138009694893
3.7784722222222222,15.78125,78.75,0.3990885416666667,0.28125,96.0,27.0,co_tenant_matched_load_control,high,3,deeprm_inspired_pg,2,24.11747932706016
3.286501736111111,12.317708333333332,71.5,0.5806477864583333,0.1875,96.0,18.0,clean,clean,0,plain_dqn,2,0.0
5.4818359375,18.143229166666664,81.5,0.4881184895833333,0.30729166666666663,96.0,29.5,observation_noise,low,1,plain_dqn,2,66.79851032078287
5.6884548611111105,18.971354166666668,81.21875,0.49226888020833337,0.3216145833333333,96.0,30.875,observation_noise,medium,2,plain_dqn,2,73.08540563384
6.070638020833334,20.725260416666668,85.28125,0.43033854166666663,0.359375,96.0,34.5,observation_noise,high,3,plain_dqn,2,84.7142800544103
6.313563368055555,20.203125,92.5,0.506103515625,0.3372395833333333,96.0,32.375,reward_corruption,low,1,plain_dqn,2,92.1058887230755
9.85525173611111,30.505208333333336,92.0,0.40022786458333337,0.47135416666666663,96.0,45.25,reward_corruption,medium,2,plain_dqn,2,199.87057751482416
9.094618055555554,27.96484375,64.3125,0.244140625,0.66015625,96.0,63.375,reward_corruption,high,3,plain_dqn,2,176.7264035076134
3.240600904135606,8.714724705119442,24.29374999999999,0.3434244791666667,0.1257243133688649,77.0,10.0,distribution_shift,low,1,plain_dqn,2,-1.3966471239360743
7.446141493176121,20.0446442341158,67.79999999999998,0.45939127604166663,0.3757425759390596,122.5,46.625,distribution_shift,medium,2,plain_dqn,2,126.56739874378023
9.62302305620965,27.624402481237897,78.60624999999999,0.48917643229166663,0.5130908637694589,152.5,78.625,distribution_shift,high,3,plain_dqn,2,192.80444158829167
7.496853298611111,22.520833333333336,85.15625,0.4507649739583333,0.39192708333333337,96.0,37.625,co_tenant_interference,low,1,plain_dqn,2,128.1104317164327
6.068923611111111,20.598958333333332,84.09375,0.40478515625,0.35286458333333337,96.0,33.875,co_tenant_interference,medium,2,plain_dqn,2,84.66211486905878
5.799522569444444,20.98828125,84.09375,0.3794759114583333,0.37109375,96.0,35.625,co_tenant_interference,high,3,plain_dqn,2,76.46491726205412
8.178255208333333,23.4921875,86.3125,0.4694010416666667,0.40885416666666663,96.0,39.25,co_tenant_matched_load_control,low,1,plain_dqn,2,148.84378177784234
8.505794270833334,23.936197916666668,86.3125,0.48583984375,0.42838541666666663,96.0,41.125,co_tenant_matched_load_control,medium,2,plain_dqn,2,158.80997345518418
5.678059895833333,20.173177083333336,85.0,0.38395182291666663,0.34635416666666663,96.0,33.25,co_tenant_matched_load_control,high,3,plain_dqn,2,72.7691129277215
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,clean,clean,0,heuristic_sjf_bestfit,3,0.0
5.652842881944444,17.8046875,47.59375,0.52001953125,0.33723958333333337,96.0,32.375,observation_noise,low,1,heuristic_sjf_bestfit,3,33.99882711222684
6.21174045138889,19.268229166666664,50.0625,0.5148111979166666,0.36848958333333337,96.0,35.375,observation_noise,medium,2,heuristic_sjf_bestfit,3,47.24731470430884
6.729817708333334,20.690104166666664,53.21875,0.5015462239583333,0.38411458333333337,96.0,36.875,observation_noise,high,3,heuristic_sjf_bestfit,3,59.52816988353432
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,low,1,heuristic_sjf_bestfit,3,0.0
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,medium,2,heuristic_sjf_bestfit,3,0.0
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,high,3,heuristic_sjf_bestfit,3,0.0
2.1909583203261978,6.586412350324128,18.09999999999999,0.3777669270833333,0.09313344247323987,83.625,8.375,distribution_shift,low,1,heuristic_sjf_bestfit,3,-48.06403586534878
4.837798758593381,14.798590558103292,46.63749999999998,0.47200520833333337,0.2362013578629078,107.375,26.125,distribution_shift,medium,2,heuristic_sjf_bestfit,3,14.678467630346422
8.436015389700398,25.15291309761467,72.91874999999999,0.5100911458333334,0.47771620031562423,147.875,71.5,distribution_shift,high,3,heuristic_sjf_bestfit,3,99.97303858049422
6.8580512152777775,21.467447916666664,59.40625,0.4593098958333333,0.41145833333333337,96.0,39.5,co_tenant_interference,low,1,heuristic_sjf_bestfit,3,62.56790402897238
7.8701171875,24.03125,61.1875,0.4239095052083333,0.47135416666666663,96.0,45.25,co_tenant_interference,medium,2,heuristic_sjf_bestfit,3,86.55860323470102
8.553841145833335,26.06640625,63.0,0.3821614583333333,0.5234375,96.0,50.25,co_tenant_interference,high,3,heuristic_sjf_bestfit,3,102.76606033170094
6.873437499999999,21.614583333333332,60.0,0.4583333333333333,0.4166666666666667,96.0,40.0,co_tenant_matched_load_control,low,1,heuristic_sjf_bestfit,3,62.93263097246797
